,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,Mainland China,2020-02-10T23:33:02,31728,974,2222
1,Guangdong,Mainland China,2020-02-10T13:43:02,1159,1,167
2,Zhejiang,Mainland China,2020-02-10T14:13:12,1092,0,242
3,Henan,Mainland China,2020-02-10T13:53:02,1073,6,191
4,Hunan,Mainland China,2020-02-10T13:53:02,879,1,208
5,Anhui,Mainland China,2020-02-10T07:23:04,830,3,88
6,Jiangxi,Mainland China,2020-02-10T13:53:02,771,1,105
7,Jiangsu,Mainland China,2020-02-10T14:03:05,492,0,81
8,Chongqing,Mainland China,2020-02-10T23:43:02,486,2,66
9,Shandong,Mainland China,2020-02-10T09:33:02,466,1,66
10,Sichuan,Mainland China,2020-02-10T10:03:02,405,1,80
11,Beijing,Mainland China,2020-02-10T03:13:08,337,2,44
12,Heilongjiang,Mainland China,2020-02-10T07:33:05,331,7,30
13,Shanghai,Mainland China,2020-02-10T06:03:13,299,1,48
14,Fujian,Mainland China,2020-02-10T14:03:05,261,0,39
15,Hebei,Mainland China,2020-02-10T10:03:02,218,2,41
16,Shaanxi,Mainland China,2020-02-10T13:23:06,213,0,30
17,Guangxi,Mainland China,2020-02-10T14:03:05,210,1,24
18,Yunnan,Mainland China,2020-02-10T09:43:02,149,0,19
19,Hainan,Mainland China,2020-02-10T09:33:02,138,3,19
20,Diamond Princess cruise ship,Others,2020-02-10T16:03:12,135,0,0
21,Shanxi,Mainland China,2020-02-09T23:43:02,119,0,25
22,Guizhou,Mainland China,2020-02-10T12:33:02,109,1,10
23,Liaoning,Mainland China,2020-02-10T14:03:05,108,0,13
24,Tianjin,Mainland China,2020-02-10T14:23:08,95,1,8
25,Gansu,Mainland China,2020-02-10T07:23:04,83,2,17
26,Jilin,Mainland China,2020-02-10T14:03:05,80,1,13
27,Inner Mongolia,Mainland China,2020-02-10T02:43:05,58,0,5
28,Ningxia,Mainland China,2020-02-10T01:43:02,49,0,13
29,Xinjiang,Mainland China,2020-02-10T01:13:06,49,0,0
30,,Singapore,2020-02-10T19:03:02,45,0,2
31,Hong Kong,Hong Kong,2020-02-10T10:13:06,38,1,0
32,,Thailand,2020-02-08T12:53:01,32,0,10
33,,South Korea,2020-02-10T03:03:09,27,0,3
34,,Japan,2020-02-10T21:33:02,26,0,4
35,Qinghai,Mainland China,2020-02-06T02:13:15,18,0,3
36,,Malaysia,2020-02-10T03:03:09,18,0,1
37,Taiwan,Taiwan,2020-02-09T09:13:11,18,0,1
38,,Germany,2020-02-09T06:13:11,14,0,0
39,,Vietnam,2020-02-10T03:03:09,14,0,1
40,,France,2020-02-08T09:53:01,11,0,0
41,Macau,Macau,2020-02-06T14:23:04,10,0,1
42,,UK,2020-02-10T19:03:02,8,0,0
43,,United Arab Emirates,2020-02-10T23:03:09,8,0,0
44,Queensland,Australia,2020-02-09T19:33:02,5,0,0
45,New South Wales,Australia,2020-02-06T03:13:22,4,0,2
46,Victoria,Australia,2020-02-01T18:12:49,4,0,0
47,British Columbia,Canada,2020-02-07T05:43:03,4,0,0
48,,India,2020-02-03T21:43:02,3,0,0
49,,Italy,2020-02-07T17:53:02,3,0,0
50,,Philippines,2020-02-07T16:43:04,3,1,0
51,South Australia,Australia,2020-02-02T22:33:07,2,0,0
52,"Toronto, ON",Canada,2020-02-04T00:13:06,2,0,0
53,,Russia,2020-01-31T16:13:45,2,0,0
54,,Spain,2020-02-09T20:33:03,2,0,0
55,"Chicago, IL",US,2020-02-09T19:03:03,2,0,2
56,"San Benito, CA",US,2020-02-03T03:53:02,2,0,0
57,"Santa Clara, CA",US,2020-02-03T00:43:02,2,0,0
58,,Belgium,2020-02-04T15:43:02,1,0,0
59,,Cambodia,2020-01-31T08:15:53,1,0,0
60,"London, ON",Canada,2020-02-04T00:03:11,1,0,0
61,,Finland,2020-01-31T08:15:53,1,0,0
62,Tibet,Mainland China,2020-02-01T01:52:40,1,0,0
63,,Nepal,2020-01-31T08:15:53,1,0,0
64,,Sri Lanka,2020-02-08T03:43:03,1,0,1
65,,Sweden,2020-02-01T02:13:26,1,0,0
66,"Boston, MA",US,2020-02-01T19:43:03,1,0,0
67,"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0
68,"Madison, WI",US,2020-02-05T21:53:02,1,0,0
69,"Orange, CA",US,2020-02-01T19:53:03,1,0,0
70,"Seattle, WA",US,2020-02-09T07:03:04,1,0,1
71,"Tempe, AZ",US,2020-02-01T19:43:03,1,0,0
