,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,Mainland China,2020-02-27T12:13:14,65596,2641,23383
1,,South Korea,2020-02-27T12:03:04,1766,13,22
2,Guangdong,Mainland China,2020-02-27T09:53:02,1347,7,890
3,Henan,Mainland China,2020-02-27T15:03:11,1272,20,1068
4,Zhejiang,Mainland China,2020-02-27T12:43:02,1205,1,932
5,Hunan,Mainland China,2020-02-27T12:43:02,1017,4,804
6,Anhui,Mainland China,2020-02-27T14:13:06,989,6,792
7,Jiangxi,Mainland China,2020-02-27T01:43:02,934,1,754
8,Shandong,Mainland China,2020-02-27T14:13:06,756,6,387
9,Diamond Princess cruise ship,Others,2020-02-26T19:33:02,705,4,10
10,,Italy,2020-02-27T23:23:02,655,17,45
11,Jiangsu,Mainland China,2020-02-27T14:13:06,631,0,498
12,Chongqing,Mainland China,2020-02-27T23:23:02,576,6,401
13,Sichuan,Mainland China,2020-02-27T12:43:02,534,3,321
14,Heilongjiang,Mainland China,2020-02-27T12:43:02,480,13,270
15,Beijing,Mainland China,2020-02-27T02:23:13,410,5,248
16,Shanghai,Mainland China,2020-02-27T04:03:12,337,3,276
17,Hebei,Mainland China,2020-02-27T12:43:02,317,6,274
18,Fujian,Mainland China,2020-02-27T10:03:07,296,1,228
19,Guangxi,Mainland China,2020-02-27T10:03:07,252,2,161
20,,Iran,2020-02-27T12:03:04,245,26,49
21,Shaanxi,Mainland China,2020-02-27T12:43:02,245,1,195
22,,Japan,2020-02-27T23:33:02,214,4,22
23,Yunnan,Mainland China,2020-02-27T10:03:07,174,2,150
24,Hainan,Mainland China,2020-02-27T10:03:07,168,5,131
25,Guizhou,Mainland China,2020-02-27T00:43:02,146,2,112
26,Tianjin,Mainland China,2020-02-27T23:13:04,136,3,102
27,Shanxi,Mainland China,2020-02-27T23:13:04,133,0,107
28,Liaoning,Mainland China,2020-02-27T14:13:06,121,1,93
29,Jilin,Mainland China,2020-02-27T12:43:02,93,1,67
30,,Singapore,2020-02-26T19:33:02,93,0,62
31,Hong Kong,Hong Kong,2020-02-27T09:53:02,92,2,24
32,Gansu,Mainland China,2020-02-26T14:13:10,91,2,81
33,Xinjiang,Mainland China,2020-02-27T12:43:02,76,2,43
34,Inner Mongolia,Mainland China,2020-02-27T23:33:02,75,0,43
35,Ningxia,Mainland China,2020-02-27T10:03:07,72,0,68
36,,Germany,2020-02-27T23:13:04,46,0,16
37,,Kuwait,2020-02-27T13:33:03,43,0,0
38,Unassigned Location (From Diamond Princess),US,2020-02-26T20:03:06,42,0,0
39,,Thailand,2020-02-26T07:23:03,40,0,22
40,,France,2020-02-27T22:13:10,38,2,11
41,,Bahrain,2020-02-26T21:03:07,33,0,0
