,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
0,Hubei,China,2020-03-16T14:38:45,67798,3099,55142,30.9756,112.2707
1,,Italy,2020-03-16T17:33:03,27980,2158,2749,41.8719,12.5674
2,,Iran,2020-03-16T14:38:45,14991,853,4590,32.4279,53.688
3,,Spain,2020-03-16T20:13:11,9942,342,530,40.4637,-3.7492
4,,"Korea, South",2020-03-16T14:38:45,8236,75,1137,35.9078,127.7669
5,,Germany,2020-03-16T20:13:11,7272,17,67,51.1657,10.4515
6,France,France,2020-03-16T20:13:11,6633,148,12,46.2276,2.2137
7,,Switzerland,2020-03-15T18:20:18,2200,14,4,46.8182,8.2275
8,United Kingdom,United Kingdom,2020-03-16T19:13:13,1543,55,20,55.3781,-3.436
9,Netherlands,Netherlands,2020-03-16T14:38:46,1413,24,2,52.1326,5.2913
10,Guangdong,China,2020-03-16T01:53:03,1361,8,1306,23.3417,113.4244
11,,Norway,2020-03-16T21:13:12,1333,3,1,60.472,8.4689
12,Henan,China,2020-03-14T09:53:08,1273,22,1250,33.882,113.614
13,Zhejiang,China,2020-03-16T14:38:45,1231,1,1216,29.1832,120.0934
14,,Sweden,2020-03-16T14:38:45,1103,6,1,60.1282,18.6435
15,,Belgium,2020-03-16T14:38:45,1058,5,1,50.5039,4.4699
16,,Austria,2020-03-16T15:13:09,1018,3,6,47.5162,14.5501
17,Hunan,China,2020-03-14T08:33:03,1018,4,1014,27.6104,111.7088
18,Anhui,China,2020-03-11T02:18:14,990,6,984,31.8257,117.2264
19,New York,US,2020-03-16T21:53:03,967,10,0,42.1657,-74.9481
20,Jiangxi,China,2020-03-12T02:13:04,935,1,934,27.614,115.7221
21,Denmark,Denmark,2020-03-16T18:33:03,914,3,1,56.2639,9.5018
22,Washington,US,2020-03-16T23:53:03,904,48,1,47.4009,-121.4905
23,,Japan,2020-03-16T14:38:45,825,27,144,36.2048,138.2529
24,Shandong,China,2020-03-16T14:38:45,760,7,746,36.3427,118.1498
25,Diamond Princess,Cruise Ship,2020-03-13T14:13:25,696,7,325,35.4498,139.6649
26,Jiangsu,China,2020-03-15T01:53:02,631,0,631,32.9711,119.455
27,Chongqing,China,2020-03-15T03:53:04,576,6,570,30.0572,107.874
28,,Malaysia,2020-03-16T14:38:45,566,0,42,4.2105,101.9758
29,California,US,2020-03-16T23:53:03,557,7,6,36.1162,-119.6816
30,Sichuan,China,2020-03-15T18:20:18,539,3,516,30.6171,102.7103
31,Heilongjiang,China,2020-03-16T14:38:45,482,13,455,47.862,127.7615
32,Beijing,China,2020-03-16T14:38:45,452,8,360,40.1824,116.4142
33,,Qatar,2020-03-16T15:13:09,439,0,4,25.3548,51.1839
34,Shanghai,China,2020-03-16T14:38:45,355,3,325,31.202,121.4491
35,,Greece,2020-03-16T00:22:10,331,4,8,39.0742,21.8243
36,,Portugal,2020-03-16T14:38:45,331,0,3,39.3999,-8.2245
37,Hebei,China,2020-03-13T11:09:03,318,6,310,38.0428,114.5149
38,,Czechia,2020-03-16T23:53:02,298,0,3,49.8175,15.473
39,Fujian,China,2020-03-11T02:18:14,296,1,295,26.0789,117.9874
40,,Finland,2020-03-16T14:38:45,277,0,10,61.9241,25.7482
41,,Israel,2020-03-16T14:38:45,255,0,4,31.0461,34.8516
42,,Slovenia,2020-03-16T14:38:45,253,1,0,46.1512,14.9955
43,Guangxi,China,2020-03-16T14:38:45,252,2,248,23.8298,108.7881
44,Shaanxi,China,2020-03-16T14:38:45,245,2,233,35.1917,108.8701
45,,Singapore,2020-03-16T14:38:45,243,0,109,1.3521,103.8198
46,,Bahrain,2020-03-16T20:33:03,214,1,77,26.0667,50.5577
47,,Estonia,2020-03-16T14:38:45,205,0,1,58.5953,25.0136
48,,Brazil,2020-03-16T02:33:08,200,0,1,-14.235,-51.9253
49,Massachusetts,US,2020-03-16T21:53:03,197,0,1,42.2302,-71.5301
50,,Iceland,2020-03-16T02:13:15,180,0,0,64.9631,-19.0208
51,New Jersey,US,2020-03-16T22:13:21,178,2,1,40.2989,-74.521
52,Ontario,Canada,2020-03-16T16:13:26,177,0,5,51.2538,-85.3232
