,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
0,Hubei,China,2020-03-14T10:13:09,67790,3075,52960,30.9756,112.2707
1,,Italy,2020-03-14T20:13:16,21157,1441,1966,41.8719,12.5674
2,,Iran,2020-03-14T11:33:06,12729,611,2959,32.4279,53.688
3,,"Korea, South",2020-03-14T01:33:02,8086,72,510,35.9078,127.7669
4,,Spain,2020-03-14T22:13:11,6391,195,517,40.4637,-3.7492
5,,Germany,2020-03-14T22:13:11,4585,9,46,51.1657,10.4515
6,France,France,2020-03-14T20:13:16,4469,91,12,46.2276,2.2137
7,,Switzerland,2020-03-14T11:53:29,1359,13,4,46.8182,8.2275
8,Guangdong,China,2020-03-14T01:13:11,1356,8,1299,23.3417,113.4244
9,Henan,China,2020-03-14T09:53:08,1273,22,1250,33.882,113.614
10,Zhejiang,China,2020-03-14T02:14:15,1227,1,1211,29.1832,120.0934
11,United Kingdom,United Kingdom,2020-03-14T14:53:04,1140,21,18,55.3781,-3.436
12,,Norway,2020-03-14T22:13:11,1090,3,1,60.472,8.4689
13,Hunan,China,2020-03-14T08:33:03,1018,4,1014,27.6104,111.7088
14,Anhui,China,2020-03-11T02:18:14,990,6,984,31.8257,117.2264
15,,Sweden,2020-03-14T22:13:11,961,2,1,60.1282,18.6435
16,,Netherlands,2020-03-14T22:13:11,959,12,2,52.1326,5.2913
17,Jiangxi,China,2020-03-12T02:13:04,935,1,934,27.614,115.7221
18,Denmark,Denmark,2020-03-14T22:13:32,827,1,1,56.2639,9.5018
19,,Japan,2020-03-14T22:33:03,773,22,118,36.2048,138.2529
20,Shandong,China,2020-03-14T04:33:02,760,7,741,36.3427,118.1498
21,Diamond Princess,Cruise Ship,2020-03-13T14:13:25,696,7,325,35.4498,139.6649
22,,Belgium,2020-03-14T11:53:29,689,4,1,50.5039,4.4699
23,,Austria,2020-03-14T16:13:55,655,1,6,47.5162,14.5501
24,Jiangsu,China,2020-03-13T11:09:03,631,0,630,32.9711,119.455
25,Chongqing,China,2020-03-14T23:53:02,576,6,569,30.0572,107.874
26,Washington,US,2020-03-14T22:13:19,572,37,1,47.4009,-121.4905
27,Sichuan,China,2020-03-14T04:33:02,539,3,511,30.6171,102.7103
28,New York,US,2020-03-14T22:13:32,525,2,0,42.1657,-74.9481
29,Heilongjiang,China,2020-03-14T00:13:05,482,13,447,47.862,127.7615
30,Beijing,China,2020-03-14T02:13:47,437,8,349,40.1824,116.4142
31,Shanghai,China,2020-03-14T23:53:02,353,3,324,31.202,121.4491
32,California,US,2020-03-14T22:13:32,340,5,6,36.1162,-119.6816
33,,Qatar,2020-03-14T22:33:03,337,0,4,25.3548,51.1839
34,Hebei,China,2020-03-13T11:09:03,318,6,310,38.0428,114.5149
35,Fujian,China,2020-03-11T02:18:14,296,1,295,26.0789,117.9874
36,Guangxi,China,2020-03-13T11:09:03,252,2,243,23.8298,108.7881
37,Shaanxi,China,2020-03-12T01:33:02,245,2,232,35.1917,108.8701
38,,Malaysia,2020-03-14T16:13:55,238,0,35,4.2105,101.9758
39,,Greece,2020-03-14T22:33:03,228,3,8,39.0742,21.8243
40,,Finland,2020-03-14T22:33:03,225,0,1,61.9241,25.7482
41,,Singapore,2020-03-14T16:14:30,212,0,105,1.3521,103.8198
42,,Bahrain,2020-03-14T11:53:29,210,0,44,26.0667,50.5577
43,,Israel,2020-03-14T20:13:16,193,0,4,31.0461,34.8516
44,,Czechia,2020-03-14T20:13:16,189,0,0,49.8175,15.473
45,,Slovenia,2020-03-14T22:33:03,181,1,0,46.1512,14.9955
46,Yunnan,China,2020-03-14T23:33:02,174,2,172,24.974,101.487
47,,Portugal,2020-03-14T16:14:47,169,0,2,39.3999,-8.2245
