,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
0,Hubei,China,2020-03-22T09:43:06,67800,3144,59433,30.9756,112.2707
1,,Italy,2020-03-22T18:13:20,59138,5476,7024,41.8719,12.5674
2,,Spain,2020-03-22T23:13:18,28768,1772,2575,40.4637,-3.7492
3,,Germany,2020-03-22T23:43:02,24873,94,266,51.1657,10.4515
4,,Iran,2020-03-22T14:13:06,21638,1685,7931,32.4279,53.688
5,France,France,2020-03-22T23:43:02,16018,674,2200,46.2276,2.2137
6,New York,US,2020-03-22T22:13:32,15793,117,0,42.1657,-74.9481
7,,"Korea, South",2020-03-22T11:13:17,8897,104,2909,35.9078,127.7669
8,,Switzerland,2020-03-22T23:13:18,7245,98,131,46.8182,8.2275
9,United Kingdom,United Kingdom,2020-03-22T22:43:03,5683,281,65,55.3781,-3.436
10,Netherlands,Netherlands,2020-03-22T14:13:10,4204,179,2,52.1326,5.2913
11,,Belgium,2020-03-22T14:13:06,3401,75,263,50.5039,4.4699
12,,Austria,2020-03-22T23:43:02,3244,16,9,47.5162,14.5501
13,,Norway,2020-03-22T23:13:18,2383,7,1,60.472,8.4689
14,Washington,US,2020-03-22T23:13:22,1996,95,0,47.4009,-121.4905
15,,Sweden,2020-03-22T16:43:07,1934,21,16,60.1282,18.6435
16,New Jersey,US,2020-03-22T19:43:03,1914,20,0,40.2989,-74.521
17,California,US,2020-03-22T22:13:28,1642,30,0,36.1162,-119.6816
18,,Portugal,2020-03-22T14:13:06,1600,14,5,39.3999,-8.2245
19,,Brazil,2020-03-22T23:43:02,1593,25,2,-14.235,-51.9253
20,Guangdong,China,2020-03-22T02:43:02,1407,8,1329,23.3417,113.4244
21,Denmark,Denmark,2020-03-22T14:43:19,1395,13,1,56.2639,9.5018
22,,Malaysia,2020-03-22T11:13:17,1306,10,139,4.2105,101.9758
23,Henan,China,2020-03-14T09:53:08,1273,22,1250,33.882,113.614
24,Zhejiang,China,2020-03-22T02:43:02,1237,1,1219,29.1832,120.0934
25,,Turkey,2020-03-22T22:43:02,1236,30,0,38.9637,35.2433
26,,Czechia,2020-03-22T23:43:02,1120,1,6,49.8175,15.473
27,,Japan,2020-03-22T16:13:11,1086,40,235,36.2048,138.2529
28,,Israel,2020-03-22T23:13:18,1071,1,37,31.0461,34.8516
29,Illinois,US,2020-03-22T22:13:32,1049,9,0,40.3495,-88.9861
30,Michigan,US,2020-03-22T21:13:20,1037,9,0,43.3266,-84.5361
31,Hunan,China,2020-03-14T08:33:03,1018,4,1014,27.6104,111.7088
32,Anhui,China,2020-03-11T02:18:14,990,6,984,31.8257,117.2264
33,Jiangxi,China,2020-03-22T02:43:02,936,1,934,27.614,115.7221
34,,Ireland,2020-03-22T23:13:18,906,4,5,53.1424,-7.6921
35,Louisiana,US,2020-03-22T17:43:06,837,20,0,31.1695,-91.8678
