,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
87,,Brazil,2020-03-04T20:33:02,4,0,0,-14.235,-51.9253
88,,Romania,2020-03-04T00:53:02,4,0,1,46.0,25.0
89,,Senegal,2020-03-04T20:43:02,4,0,0,14.4974,-14.4524
90,"Cook County, IL",US,2020-03-02T20:33:02,4,0,2,41.7377,-87.6976
91,,Azerbaijan,2020-03-01T02:43:03,3,0,0,40.1431,47.5769
92,,Georgia,2020-03-01T15:43:03,3,0,0,42.3154,43.3569
93,,New Zealand,2020-03-04T20:13:11,3,0,0,-40.9006,174.886
94,,Philippines,2020-02-12T07:43:02,3,1,1,13.0,122.0
95,,Russia,2020-03-02T21:23:04,3,0,2,60.0,90.0
96,,Saint Barthelemy,2020-03-04T02:43:03,3,0,0,17.9,-62.8333
97,"Orange County, CA",US,2020-03-04T02:13:11,3,0,0,33.7879,-117.8531
98,Western Australia,Australia,2020-03-01T02:43:03,2,1,0,-31.9505,115.8605
99,,Egypt,2020-03-01T23:33:03,2,0,1,26.0,30.0
100,,Estonia,2020-03-03T23:53:03,2,0,0,58.5953,25.0136
101,,Hungary,2020-03-04T19:33:03,2,0,0,47.1625,19.5033
102,,Indonesia,2020-03-02T18:03:04,2,0,0,-0.7893,113.9213
103,"Fulton County, GA",US,2020-03-03T03:33:02,2,0,0,33.8034,-84.3963
104,"Grafton County, NH",US,2020-03-03T23:33:03,2,0,0,43.9088,-71.826
105,"Hillsborough, FL",US,2020-03-03T18:33:02,2,0,0,27.9904,-82.3018
106,"Placer County, CA",US,2020-03-04T19:53:02,2,1,0,39.0916,-120.8039
107,"Providence, RI",US,2020-03-02T03:43:02,2,0,0,41.824,-71.4128
108,"Sacramento County, CA",US,2020-02-27T20:33:02,2,0,0,38.4747,-121.3542
109,"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,36.5761,-120.9876
110,"San Diego County, CA",US,2020-02-21T05:43:02,2,0,1,32.7157,-117.1611
111,"San Mateo, CA",US,2020-03-03T00:43:02,2,0,0,37.563,-122.3255
112,"Washington County, OR",US,2020-03-03T03:03:02,2,0,0,45.547,-123.1386
113,,Afghanistan,2020-02-24T23:33:02,1,0,0,33.0,65.0
114,,Andorra,2020-03-02T20:23:16,1,0,0,42.5063,1.5218
115,,Argentina,2020-03-04T01:33:07,1,0,0,-38.4161,-63.6167
116,,Armenia,2020-03-01T19:53:02,1,0,0,40.0691,45.0382
117,Northern Territory,Australia,2020-03-04T19:43:02,1,0,0,-12.4634,130.8456
118,Tasmania,Australia,2020-03-02T20:53:02,1,0,0,-41.4545,145.9707
119,,Cambodia,2020-02-12T07:43:02,1,0,1,11.55,104.9167
120," Montreal, QC",Canada,2020-02-28T05:23:07,1,0,0,45.5017,-73.5673
121,"London, ON",Canada,2020-02-12T18:53:03,1,0,1,42.9849,-81.2453
122,,Chile,2020-03-04T01:33:07,1,0,0,-35.6751,-71.543
123,,Dominican Republic,2020-03-02T16:33:02,1,0,0,18.7357,-70.1627
124,,Faroe Islands,2020-03-04T12:53:03,1,0,0,61.8926,-6.9118
125,,Gibraltar,2020-03-04T13:03:13,1,0,0,36.1408,-5.3536
126,,Jordan,2020-03-03T15:33:02,1,0,0,31.24,36.51
127,,Latvia,2020-03-04T01:33:07,1,0,0,56.8796,24.6032
128,,Liechtenstein,2020-03-04T01:33:07,1,0,0,47.14,9.55
129,,Lithuania,2020-02-28T16:23:03,1,0,0,55.1694,23.8813
130,,Luxembourg,2020-03-03T00:23:16,1,0,0,49.8144,6.1317
