,date,country,confirmed,new_confirmed,growth,growth_avg,growth_avg_7,predict,new_predict,p_growth,p_gr_avg,p_gr_avg_7
0,2020-01-23,Malaysia,0.0,0.0,0.0,1.0,1.0,,,,,
1,2020-01-25,Malaysia,3.0,3.0,0.0,1.0,1.0,,,,,
2,2020-01-26,Malaysia,4.0,1.0,1.3330000000000002,1.0,1.0,,,,,
3,2020-01-27,Malaysia,4.0,0.0,1.0,1.0,1.0,,,,,
4,2020-01-28,Malaysia,5.0,1.0,1.25,1.194,1.0,,,,,
5,2020-01-29,Malaysia,7.0,2.0,1.4,1.217,1.0,,,,,
6,2020-01-30,Malaysia,8.0,1.0,1.143,1.264,1.0,,,,,
7,2020-01-31,Malaysia,8.0,0.0,1.0,1.181,1.018,,,,,
8,2020-02-01,Malaysia,8.0,0.0,1.0,1.048,1.161,,,,,
9,2020-02-02,Malaysia,8.0,0.0,1.0,1.0,1.113,,,,,
10,2020-02-03,Malaysia,9.0,1.0,1.125,1.042,1.131,,,,,
11,2020-02-04,Malaysia,10.0,1.0,1.111,1.079,1.111,,,,,
12,2020-02-05,Malaysia,12.0,2.0,1.2,1.145,1.083,,,,,
13,2020-02-06,Malaysia,12.0,0.0,1.0,1.104,1.062,,,,,
14,2020-02-07,Malaysia,14.0,2.0,1.167,1.122,1.0859999999999999,,,,,
15,2020-02-08,Malaysia,16.0,2.0,1.143,1.103,1.107,,,,,
16,2020-02-09,Malaysia,17.0,1.0,1.062,1.124,1.115,,,,,
17,2020-02-10,Malaysia,18.0,1.0,1.0590000000000002,1.088,1.1059999999999999,,,,,
18,2020-02-11,Malaysia,18.0,0.0,1.0,1.04,1.09,,,,,
19,2020-02-12,Malaysia,18.0,0.0,1.0,1.02,1.062,,,,,
20,2020-02-13,Malaysia,18.0,0.0,1.0,1.0,1.062,,,,,
21,2020-02-14,Malaysia,20.0,2.0,1.111,1.037,1.054,,,,,
22,2020-02-15,Malaysia,22.0,2.0,1.1,1.07,1.047,,,,,
23,2020-02-16,Malaysia,22.0,0.0,1.0,1.07,1.0390000000000001,,,,,
24,2020-02-17,Malaysia,22.0,0.0,1.0,1.033,1.03,,,,,
25,2020-02-18,Malaysia,22.0,0.0,1.0,1.0,1.03,,,,,
26,2020-02-19,Malaysia,22.0,0.0,1.0,1.0,1.03,,,,,
27,2020-02-20,Malaysia,22.0,0.0,1.0,1.0,1.03,,,,,
28,2020-02-21,Malaysia,22.0,0.0,1.0,1.0,1.014,,,,,
29,2020-02-22,Malaysia,22.0,0.0,1.0,1.0,1.0,,,,,
30,2020-02-23,Malaysia,22.0,0.0,1.0,1.0,1.0,,,,,
31,2020-02-24,Malaysia,22.0,0.0,1.0,1.0,1.0,,,,,
32,2020-02-25,Malaysia,22.0,0.0,1.0,1.0,1.0,,,,,
33,2020-02-26,Malaysia,22.0,0.0,1.0,1.0,1.0,,,,,
34,2020-02-27,Malaysia,22.0,0.0,1.0,1.0,1.0,,,,,
35,2020-02-28,Malaysia,24.0,2.0,1.091,1.03,1.013,,,,,
36,2020-02-29,Malaysia,26.0,2.0,1.083,1.058,1.025,,,,,
37,2020-03-01,Malaysia,29.0,3.0,1.115,1.0959999999999999,1.041,,,,,
38,2020-03-02,Malaysia,32.0,3.0,1.103,1.1,1.056,,,,,
39,2020-03-03,Malaysia,36.0,4.0,1.125,1.114,1.074,,,,,
40,2020-03-04,Malaysia,50.0,14.0,1.389,1.206,1.129,,,,,
41,2020-03-05,Malaysia,66.0,16.0,1.32,1.278,1.175,,,,,
42,2020-03-06,Malaysia,83.0,17.0,1.258,1.3219999999999998,1.199,,,,,
43,2020-03-07,Malaysia,93.0,10.0,1.12,1.2329999999999999,1.204,,,,,
44,2020-03-08,Malaysia,105.0,12.0,1.129,1.169,1.206,,,,,
45,2020-03-09,Malaysia,117.0,12.0,1.114,1.121,1.208,,,,,
46,2020-03-10,Malaysia,133.0,16.0,1.137,1.127,1.21,,,,,
47,2020-03-11,Malaysia,149.0,16.0,1.12,1.124,1.171,,,,,
48,2020-03-12,Malaysia,173.0,24.0,1.161,1.139,1.148,61.0,,,,
49,2020-03-13,Malaysia,197.0,24.0,1.139,1.14,1.131,135.0,74.0,2.213,,
50,2020-03-14,Malaysia,238.0,41.0,1.208,1.169,1.1440000000000001,219.0,84.0,1.622,,
51,2020-03-15,Malaysia,428.0,190.0,1.798,1.382,1.24,312.0,93.0,1.425,1.753,
52,2020-03-16,Malaysia,566.0,138.0,1.3219999999999998,1.443,1.2690000000000001,414.0,102.0,1.327,1.458,
53,2020-03-17,Malaysia,673.0,107.0,1.189,1.436,1.2770000000000001,525.0,111.0,1.268,1.34,
54,2020-03-18,Malaysia,790.0,117.0,1.1740000000000002,1.228,1.284,645.0,120.0,1.229,1.275,
55,2020-03-19,Malaysia,900.0,110.0,1.139,1.167,1.281,773.0,128.0,1.198,1.232,1.469
56,2020-03-20,Malaysia,1030.0,130.0,1.1440000000000001,1.1520000000000001,1.2819999999999998,908.0,135.0,1.175,1.201,1.321
57,2020-03-21,Malaysia,1183.0,153.0,1.149,1.1440000000000001,1.274,1051.0,143.0,1.157,1.177,1.254
58,2020-03-22,Malaysia,1350.0,167.0,1.141,1.145,1.18,1200.0,149.0,1.142,1.158,1.214
59,2020-03-23,Malaysia,1518.0,168.0,1.124,1.138,1.151,1354.0,154.0,1.128,1.142,1.185
60,2020-03-24,Malaysia,1657.0,139.0,1.092,1.119,1.138,1511.0,157.0,1.116,1.129,1.164
