,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
0,Hubei,China,2020-03-13T11:09:03,67786,3062,51553,30.9756,112.2707
1,Guangdong,China,2020-03-13T11:09:03,1356,8,1296,23.3417,113.4244
2,Henan,China,2020-03-11T08:13:09,1273,22,1249,33.882,113.61399999999999
3,Zhejiang,China,2020-03-12T01:33:02,1215,1,1197,29.1832,120.0934
4,Hunan,China,2020-03-13T11:09:03,1018,4,1005,27.6104,111.7088
5,Anhui,China,2020-03-11T02:18:14,990,6,984,31.8257,117.2264
6,Jiangxi,China,2020-03-12T02:13:04,935,1,934,27.614,115.7221
7,Shandong,China,2020-03-13T11:09:03,760,7,739,36.3427,118.1498
8,Jiangsu,China,2020-03-13T11:09:03,631,0,630,32.9711,119.455
9,Chongqing,China,2020-03-13T23:13:12,576,6,566,30.0572,107.874
10,Sichuan,China,2020-03-13T11:09:03,539,3,503,30.6171,102.7103
11,Heilongjiang,China,2020-03-13T11:09:03,482,13,446,47.861999999999995,127.7615
12,Beijing,China,2020-03-13T11:09:03,436,8,342,40.1824,116.4142
13,Shanghai,China,2020-03-13T11:09:03,346,3,324,31.201999999999998,121.4491
14,Hebei,China,2020-03-13T11:09:03,318,6,310,38.0428,114.5149
15,Fujian,China,2020-03-11T02:18:14,296,1,295,26.0789,117.9874
16,Guangxi,China,2020-03-13T11:09:03,252,2,243,23.8298,108.7881
17,Shaanxi,China,2020-03-12T01:33:02,245,2,232,35.1917,108.8701
18,Yunnan,China,2020-03-11T02:18:14,174,2,170,24.974,101.48700000000001
19,Hainan,China,2020-03-12T03:53:02,168,6,160,19.1959,109.7453
20,Guizhou,China,2020-03-13T11:09:03,146,2,140,26.8154,106.8748
21,Tianjin,China,2020-03-12T01:53:03,136,3,132,39.3054,117.323
22,Hong Kong,China,2020-03-13T13:33:03,134,4,77,22.3,114.2
23,Shanxi,China,2020-03-13T11:09:03,133,0,133,37.5777,112.2922
24,Gansu,China,2020-03-13T11:09:03,127,2,88,36.0611,103.8343
25,Liaoning,China,2020-03-12T09:53:06,125,1,112,41.2956,122.6085
26,Xinjiang,China,2020-03-11T02:18:14,76,3,73,41.1129,85.2401
27,Inner Mongolia,China,2020-03-11T03:53:03,75,1,71,44.0935,113.9448
28,Ningxia,China,2020-03-11T09:33:12,75,0,72,37.2692,106.1655
29,Jilin,China,2020-03-13T11:09:03,93,1,91,43.6661,126.1923
30,Qinghai,China,2020-03-11T02:18:14,18,0,18,35.7452,95.9956
31,Macau,China,2020-03-11T18:52:03,10,0,10,22.1667,113.55
32,Tibet,China,2020-03-11T02:18:14,1,0,1,31.6927,88.0924
33,,Panama,2020-03-11T20:00:00,27,1,0,8.538,-80.7821
34,Tasmania,Australia,2020-03-11T20:00:00,5,0,0,-41.4545,145.9707
35,,Croatia,2020-03-11T20:00:00,32,0,1,45.1,15.2
36,,Burkina Faso,2020-03-11T20:00:00,2,0,0,12.2383,-1.5616
37,,Albania,2020-03-11T20:00:00,33,1,0,41.1533,20.1683
38,British Columbia,Canada,2020-03-11T20:00:00,64,1,4,53.7267,-127.6476
39,New South Wales,Australia,2020-03-11T20:00:00,92,2,4,-33.8688,151.2093
40,Victoria,Australia,2020-03-11T20:00:00,36,0,8,-37.8136,144.9631
41,Queensland,Australia,2020-03-11T20:00:00,35,0,8,-28.0167,153.4
42,South Australia,Australia,2020-03-11T20:00:00,16,0,3,-34.9285,138.6007
43,Channel Islands,United Kingdom,2020-03-11T20:00:00,2,0,0,49.372284,-2.3643509999999996
44,,Philippines,2020-03-11T20:00:00,64,5,2,12.8797,121.774
45,,Nepal,2020-03-11T20:00:00,1,0,1,28.3949,84.124
46,,Sri Lanka,2020-03-11T20:00:00,6,0,1,7.8731,80.7718
47,,United Arab Emirates,2020-03-11T20:00:00,85,0,17,23.4241,53.8478
48,,Thailand,2020-03-11T20:00:00,75,1,35,15.87,100.9925
49,,Cambodia,2020-03-11T20:00:00,5,0,1,12.5657,104.991
50,,San Marino,2020-03-11T20:00:00,80,5,0,43.9424,12.4578
51,Ontario,Canada,2020-03-11T20:00:00,74,0,4,51.2538,-85.3232
52,Australian Capital Territory,Australia,2020-03-11T20:00:00,1,0,0,-35.4735,149.0124
53,,Germany,2020-03-11T20:00:00,3675,7,46,51.1657,10.4515
54,,Congo (Kinshasa),2020-03-11T20:00:00,2,0,0,-4.0383,21.7587
55,,Honduras,2020-03-11T20:00:00,2,0,0,15.2,-86.2419
56,Diamond Princess,US,2020-03-11T20:00:00,46,0,0,35.4437,139.638
57,,Algeria,2020-03-11T20:00:00,26,2,8,28.0339,1.6596
58,,Reunion,2020-03-11T20:00:00,5,0,0,-21.1151,55.5364
59,,Oman,2020-03-11T20:00:00,19,0,9,21.4735,55.9754
60,Diamond Princess,Cruise Ship,2020-03-11T20:00:00,696,7,325,35.4498,139.6649
61,New Brunswick,Canada,2020-03-11T20:00:00,1,0,0,46.5653,-66.4619
62,,Italy,2020-03-11T20:00:00,17660,1266,1439,41.8719,12.5674
63,,Iraq,2020-03-11T20:00:00,101,9,24,33.2232,43.6793
64,,Lebanon,2020-03-11T20:00:00,77,3,1,33.8547,35.8623
65,From Diamond Princess,Australia,2020-03-11T20:00:00,0,0,0,35.4437,139.638
66,,Ukraine,2020-03-11T20:00:00,3,1,0,48.3794,31.1656
67,,Austria,2020-03-11T20:00:00,504,1,6,47.5162,14.5501
68,,Switzerland,2020-03-11T20:00:00,1139,11,4,46.8182,8.2275
69,,Ireland,2020-03-11T20:00:00,90,1,0,53.1424,-7.6921
70,,Georgia,2020-03-11T20:00:00,25,0,0,42.3154,43.3569
71,,Bangladesh,2020-03-11T20:00:00,3,0,0,23.685,90.3563
72,,Kuwait,2020-03-11T20:00:00,80,0,5,29.3117,47.4818
73,,North Macedonia,2020-03-11T20:00:00,14,0,1,41.6086,21.7453
74,,Brazil,2020-03-11T20:00:00,151,0,0,-14.235,-51.9253
75,,Greece,2020-03-11T20:00:00,190,1,0,39.0742,21.8243
76,,Sweden,2020-03-11T20:00:00,814,1,1,60.1282,18.6435
77,,Pakistan,2020-03-11T20:00:00,28,0,2,30.3753,69.3451
78,,Norway,2020-03-11T20:00:00,996,0,1,60.472,8.4689
79,France,France,2020-03-11T20:00:00,3661,79,12,46.2276,2.2137
80,,Turkey,2020-03-11T20:00:00,5,0,0,38.9637,35.2433
81,,Bahrain,2020-03-11T20:00:00,189,0,44,26.0667,50.5577
82,,Iceland,2020-03-11T20:00:00,134,0,1,64.9631,-19.0208
83,,Ecuador,2020-03-11T20:00:00,17,0,0,-1.8312,-78.1834
84,,Estonia,2020-03-11T20:00:00,79,0,0,58.5953,25.0136
85,Denmark,Denmark,2020-03-11T20:00:00,801,0,1,56.2639,9.5018
86,United Kingdom,United Kingdom,2020-03-11T20:00:00,798,8,18,55.3781,-3.4360000000000004
87,,Netherlands,2020-03-11T20:00:00,804,10,0,52.1326,5.2913
88,,Cuba,2020-03-11T20:00:00,4,0,0,21.5218,-77.7812
89,Quebec,Canada,2020-03-11T20:00:00,17,0,0,52.9399,-73.5491
90,,Nigeria,2020-03-11T20:00:00,2,0,0,9.082,8.6753
91,,Lithuania,2020-03-11T20:00:00,6,0,0,55.1694,23.8813
92,,New Zealand,2020-03-11T20:00:00,5,0,0,-40.9006,174.886
93,,Belarus,2020-03-11T20:00:00,27,0,3,53.7098,27.9534
94,,Azerbaijan,2020-03-11T20:00:00,15,1,3,40.1431,47.5769
95,,Armenia,2020-03-11T20:00:00,8,0,0,40.0691,45.0382
96,,Kazakhstan,2020-03-11T20:00:00,4,0,0,48.0196,66.9237
97,,Iran,2020-03-11T20:00:00,11364,514,2959,32.4279,53.688
98,,Israel,2020-03-11T20:00:00,161,0,4,31.0461,34.8516
99,French Polynesia,France,2020-03-11T20:00:00,3,0,0,-17.6797,149.4068
100,Western Australia,Australia,2020-03-11T20:00:00,14,1,0,-31.9505,115.8605
101,,Cayman Islands,2020-03-11T20:00:00,1,0,0,19.3133,-81.2546
102,,Japan,2020-03-11T20:00:00,701,19,118,36.2048,138.2529
103,,Czechia,2020-03-11T20:00:00,141,0,0,49.8175,15.472999999999999
104,,Qatar,2020-03-11T20:00:00,320,0,0,25.3548,51.1839
105,,Singapore,2020-03-11T20:00:00,200,0,97,1.3521,103.8198
106,,Guadeloupe,2020-03-11T20:00:00,1,0,0,16.265,-61.551
107,,Dominican Republic,2020-03-11T20:00:00,5,0,0,18.7357,-70.1627
108,,Egypt,2020-03-11T20:00:00,80,2,27,26.8206,30.8025
109,,Bolivia,2020-03-11T20:00:00,3,0,0,-16.2902,-63.5887
110,Manitoba,Canada,2020-03-11T20:00:00,4,0,0,53.7609,-98.8139
111,Saskatchewan,Canada,2020-03-11T20:00:00,2,0,0,52.9399,-106.4509
112,,Indonesia,2020-03-11T20:00:00,69,4,2,-0.7893,113.9213
113,,"Korea, South",2020-03-11T20:00:00,7979,66,510,35.9078,127.7669
114,,Latvia,2020-03-11T20:00:00,17,0,1,56.8796,24.6032
115,,Senegal,2020-03-11T20:00:00,10,0,1,14.4974,-14.4524
116,,Ethiopia,2020-03-11T20:00:00,1,0,0,9.145,40.4897
117,,Sudan,2020-03-11T20:00:00,1,1,0,12.8628,30.2176
118,,Portugal,2020-03-11T20:00:00,112,0,1,39.3999,-8.2245
119,,Andorra,2020-03-11T20:00:00,1,0,0,42.5063,1.5218
120,,Guinea,2020-03-11T20:00:00,1,0,0,9.9456,-9.6966
121,,Antigua and Barbuda,2020-03-11T20:00:00,1,0,0,17.0608,-61.7964
122,,Belgium,2020-03-11T20:00:00,559,3,1,50.5039,4.4699
123,,Russia,2020-03-11T20:00:00,45,0,3,61.523999999999994,105.3188
124,,India,2020-03-11T20:00:00,82,2,4,20.5937,78.9629
125,,Morocco,2020-03-11T20:00:00,7,1,1,31.7917,-7.0926
126,,Aruba,2020-03-11T20:00:00,2,0,0,12.5211,-69.9683
127,Grand Princess,Canada,2020-03-11T20:00:00,2,0,0,37.6489,-122.6655
128,,Argentina,2020-03-11T20:00:00,31,2,0,-38.4161,-63.6167
129,,Chile,2020-03-11T20:00:00,43,0,0,-35.6751,-71.543
130,,Jordan,2020-03-11T20:00:00,1,0,1,31.24,36.51
131,,Kenya,2020-03-11T20:00:00,1,0,0,-0.0236,37.9062
132,Saint Barthelemy,France,2020-03-11T20:00:00,1,0,0,17.9,-62.8333
133,St Martin,France,2020-03-11T20:00:00,2,0,0,18.0708,-63.0501
134,,Poland,2020-03-11T20:00:00,68,2,0,51.9194,19.1451
135,Faroe Islands,Denmark,2020-03-11T20:00:00,3,0,0,61.8926,-6.9118
136,Gibraltar,United Kingdom,2020-03-11T20:00:00,1,0,1,36.1408,-5.3536
137,,Hungary,2020-03-11T20:00:00,19,0,0,47.1625,19.5033
138,Northern Territory,Australia,2020-03-11T20:00:00,1,0,0,-12.4634,130.8456
139,Alabama,US,2020-03-11T20:00:00,5,0,0,32.3182,-86.9023
