,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,Mainland China,1/31/2020 23:59,5806,204.0,141.0
1,Zhejiang,Mainland China,1/31/2020 23:59,538,,14.0
2,Guangdong,Mainland China,1/31/2020 23:59,436,,11.0
3,Henan,Mainland China,1/31/2020 23:59,352,2.0,3.0
4,Hunan,Mainland China,1/31/2020 23:59,332,,2.0
5,Jiangxi,Mainland China,1/31/2020 23:59,240,,7.0
6,Anhui,Mainland China,1/31/2020 23:59,237,,3.0
7,Chongqing,Mainland China,1/31/2020 23:59,211,,1.0
8,Shandong,Mainland China,1/31/2020 23:59,184,,2.0
9,Sichuan,Mainland China,1/31/2020 23:59,177,1.0,1.0
10,Jiangsu,Mainland China,1/31/2020 23:59,168,,5.0
11,Beijing,Mainland China,1/31/2020 23:59,139,1.0,5.0
12,Shanghai,Mainland China,1/31/2020 23:59,135,1.0,9.0
13,Fujian,Mainland China,1/31/2020 23:59,120,,
14,Guangxi,Mainland China,1/31/2020 23:59,87,,2.0
15,Shaanxi,Mainland China,1/31/2020 23:59,87,,
16,Yunnan,Mainland China,1/31/2020 23:59,83,,1.0
17,Hebei,Mainland China,1/31/2020 23:59,82,1.0,
18,Heilongjiang,Mainland China,1/31/2020 23:59,59,2.0,
19,Hainan,Mainland China,1/31/2020 23:59,52,1.0,1.0
20,Liaoning,Mainland China,1/31/2020 23:59,48,,1.0
21,Shanxi,Mainland China,1/31/2020 23:59,39,,1.0
22,Tianjin,Mainland China,1/31/2020 23:59,32,,
23,Guizhou,Mainland China,1/31/2020 23:59,29,,2.0
24,Gansu,Mainland China,1/31/2020 23:59,29,,
25,Ningxia,Mainland China,1/31/2020 23:59,21,,
26,Inner Mongolia,Mainland China,1/31/2020 23:59,20,,1.0
27,Xinjiang,Mainland China,1/31/2020 23:59,17,,
28,Jilin,Mainland China,1/31/2020 23:59,14,,1.0
29,Hong Kong,Hong Kong,1/31/2020 23:59,12,,
30,Taiwan,Taiwan,1/31/2020 23:59,10,,
31,Qinghai,Mainland China,1/31/2020 23:59,8,,
32,Macau,Macau,1/31/2020 23:59,7,,
33,Tibet,Mainland China,1/31/2020 23:59,1,,
34,,Thailand,1/31/2020 23:59,19,,5.0
35,,Japan,1/31/2020 23:59,15,,1.0
36,,Singapore,1/31/2020 23:59,13,,
37,,South Korea,1/31/2020 23:59,11,,
38,,Malaysia,1/31/2020 23:59,8,,
39,,France,1/31/2020 23:59,5,,
40,Bavaria,Germany,1/31/2020 23:59,5,,
41,New South Wales,Australia,1/31/2020 23:59,4,,2.0
42,,United Arab Emirates,1/31/2020 23:59,4,,
43,Victoria,Australia,1/31/2020 23:59,3,,
44,Illinois,US,1/31/2020 23:59,2,,
45,California,US,1/31/2020 23:59,2,,
46,,Vietnam,1/31/2020 23:59,2,,
47,Ontario,Canada,1/31/2020 23:59,2,,
48,Queensland,Australia,1/31/2020 23:59,2,,
49,,Italy,1/31/2020 23:59,2,,
50,,UK,1/31/2020 23:59,2,,
51,,Russia,1/31/2020 23:59,2,,
52,Washington,US,1/31/2020 23:59,1,,
53,Arizona,US,1/31/2020 23:59,1,,
54,,Nepal,1/31/2020 23:59,1,,
55,British Columbia,Canada,1/31/2020 23:59,1,,
56,,Cambodia,1/31/2020 23:59,1,,
57,,Sri Lanka,1/31/2020 23:59,1,,
58,,Finland,1/31/2020 23:59,1,,
59,,Philippines,1/31/2020 23:59,1,,
60,,India,1/31/2020 23:59,1,,
61,,Sweden,1/31/2020 23:59,1,,
