,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,Mainland China,1/26/20 16:00,1058,52.0,42.0
1,Guangdong,Mainland China,1/26/20 16:00,111,,2.0
2,Zhejiang,Mainland China,1/26/20 16:00,104,,1.0
3,Henan,Mainland China,1/26/20 16:00,83,1.0,
4,Chongqing,Mainland China,1/26/20 16:00,75,,
5,Hunan,Mainland China,1/26/20 16:00,69,,
6,Beijing,Mainland China,1/26/20 16:00,68,,2.0
7,Anhui,Mainland China,1/26/20 16:00,60,,
8,Shandong,Mainland China,1/26/20 16:00,46,,
9,Sichuan,Mainland China,1/26/20 16:00,44,,
10,Shanghai,Mainland China,1/26/20 16:00,40,1.0,1.0
11,Guangxi,Mainland China,1/26/20 16:00,36,,
12,Jiangxi,Mainland China,1/26/20 16:00,36,,
13,Fujian,Mainland China,1/26/20 16:00,35,,
14,Jiangsu,Mainland China,1/26/20 16:00,33,,1.0
15,Hainan,Mainland China,1/26/20 16:00,22,,
16,Shaanxi,Mainland China,1/26/20 16:00,22,,
17,Liaoning,Mainland China,1/26/20 16:00,21,,
18,Yunnan,Mainland China,1/26/20 16:00,16,,
19,Heilongjiang,Mainland China,1/26/20 16:00,15,1.0,
20,Tianjin,Mainland China,1/26/20 16:00,14,,
21,Hebei,Mainland China,1/26/20 16:00,13,1.0,
22,Shanxi,Mainland China,1/26/20 16:00,9,,
23,Hong Kong,Hong Kong,1/26/20 16:00,8,,
24,Inner Mongolia,Mainland China,1/26/20 16:00,7,,
25,Gansu,Mainland China,1/26/20 16:00,7,,
26,Guizhou,Mainland China,1/26/20 16:00,5,,
27,Macau,Macau,1/26/20 16:00,5,,
28,Ningxia,Mainland China,1/26/20 16:00,4,,
29,Jilin,Mainland China,1/26/20 16:00,4,,
30,Taiwan,Taiwan,1/26/20 16:00,4,,
31,Xinjiang,Mainland China,1/26/20 16:00,4,,
32,Qinghai,Mainland China,1/26/20 16:00,1,,
33,Washington,US,1/26/20 16:00,1,,
34,Illinois,US,1/26/20 16:00,1,,
35,California,US,1/26/20 16:00,2,,
36,Arizona,US,1/26/20 16:00,1,,
37,,Japan,1/26/20 16:00,4,,1.0
38,,Thailand,1/26/20 16:00,8,,2.0
39,,South Korea,1/26/20 16:00,3,,
40,,Singapore,1/26/20 16:00,4,,
41,,Vietnam,1/26/20 16:00,2,,
42,,France,1/26/20 16:00,3,,
43,,Australia,1/26/20 16:00,4,,
44,,Nepal,1/26/20 16:00,1,,
45,,Malaysia,1/26/20 16:00,4,,
46,Ontario,Canada,1/26/20 16:00,1,,
