,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
0,Hubei,China,2020-03-12T09:53:06,67781,3056,50318,30.9756,112.2707
1,,Italy,2020-03-11T21:33:02,12462,827,1045,43.0,12.0
2,,Iran,2020-03-12T11:13:27,10075,429,2959,32.0,53.0
3,,"Korea, South",2020-03-12T05:13:02,7869,66,333,36.0,128.0
4,France,France,2020-03-11T22:53:03,2281,48,12,46.2276,2.2137
5,,Spain,2020-03-12T01:17:58,2277,55,183,40.0,-4.0
6,,Germany,2020-03-12T09:53:06,2078,3,25,51.0,9.0
7,Guangdong,China,2020-03-12T03:53:02,1356,8,1289,23.3417,113.4244
8,Henan,China,2020-03-11T08:13:09,1273,22,1249,33.882,113.614
9,Zhejiang,China,2020-03-12T01:33:02,1215,1,1197,29.1832,120.0934
10,Hunan,China,2020-03-12T09:53:06,1018,4,999,27.6104,111.7088
11,Anhui,China,2020-03-11T02:18:14,990,6,984,31.8257,117.2264
12,Jiangxi,China,2020-03-12T02:13:04,935,1,934,27.614,115.7221
13,Shandong,China,2020-03-12T07:53:02,760,6,734,36.3427,118.1498
14,,Norway,2020-03-12T13:13:31,702,0,1,60.472,8.4689
15,Diamond Princess,Cruise Ship,2020-03-11T22:13:12,696,7,325,35.4437,139.638
16,,Switzerland,2020-03-11T20:53:02,652,4,4,46.8182,8.2275
17,,Japan,2020-03-12T05:13:02,639,16,118,36.0,138.0
18,Jiangsu,China,2020-03-12T05:13:02,631,0,629,32.9711,119.455
19,Denmark,Denmark,2020-03-12T09:53:06,615,0,1,56.2639,9.5018
20,,Sweden,2020-03-12T21:39:09,599,1,1,63.0,16.0
21,Chongqing,China,2020-03-12T23:44:32,576,6,564,30.0572,107.874
22,Sichuan,China,2020-03-12T12:13:07,539,3,498,30.6171,102.7103
23,,Netherlands,2020-03-11T14:13:11,503,5,0,52.1326,5.2913
24,Heilongjiang,China,2020-03-12T13:13:31,482,13,441,47.862,127.7615
25,UK,United Kingdom,2020-03-11T21:33:03,456,8,18,55.3781,-3.436
26,Washington,US,2020-03-12T23:44:33,442,31,1,47.4009,-121.4905
27,Beijing,China,2020-03-12T01:13:05,435,8,334,40.1824,116.4142
28,Shanghai,China,2020-03-12T07:53:02,344,3,321,31.202,121.4491
29,New York,US,2020-03-12T21:39:10,328,0,0,42.1657,-74.9481
30,Hebei,China,2020-03-12T05:33:02,318,6,308,39.549,116.1306
31,,Belgium,2020-03-11T18:52:03,314,3,1,50.8333,4.0
32,,Austria,2020-03-12T11:13:29,302,1,4,47.5162,14.5501
33,Fujian,China,2020-03-11T02:18:14,296,1,295,26.0789,117.9874
34,,Qatar,2020-03-11T18:52:03,262,0,0,25.3548,51.1839
35,Guangxi,China,2020-03-12T00:33:06,252,2,241,23.8298,108.7881
